x,y,vc,dr,ep,r,a,t,se,t_x,d,s_d,cr,pa
0,0,1.780011,1.780011,1.780011,1.780011,1.780011,1.780011,1.780011,1.780011,1.780011,1.780011,1.780011,1.780011
0,1,1.78001,1.78001,1.78001,1.78001,1.78001,1.78001,1.78001,1.78001,1.78001,1.78001,1.78001,1.78001
0,2,1.780009,1.780009,1.780009,1.780009,1.780009,1.780009,1.780009,1.780009,1.780009,1.780009,1.780009,1.780009
0,3,1.780008,1.780008,1.780008,1.780008,1.780008,1.780008,1.780008,1.780008,1.780008,1.780008,1.780008,1.780008
0,4,1.780007,1.780007,1.780007,1.780007,1.780007,1.780007,1.780007,1.780007,1.780007,1.780007,1.780007,1.780007
0,5,1.780005,1.780005,1.780005,1.780005,1.780005,1.780005,1.780005,1.780005,1.780005,1.780005,1.780005,1.780005
0,6,1.780004,1.780004,1.780004,1.780004,1.780004,1.780004,1.780004,1.780004,1.780004,1.780004,1.780004,1.780004
0,7,1.780002,1.780002,1.780002,1.780002,1.780002,1.780002,1.780002,1.780002,1.780002,1.780002,1.780002,1.780002
0,8,1.780001,1.780001,1.780001,1.780001,1.780001,1.780001,1.780001,1.780001,1.780001,1.780001,1.780001,1.780001
0,9,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78
0,10,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78
0,11,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78
0,12,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78
0,13,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78
0,14,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78
0,15,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78
0,16,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78
0,17,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78
0,18,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78
0,19,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78
0,20,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78
0,21,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78
0,22,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78
0,23,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78
0,24,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78
0,25,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78
0,26,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78
0,27,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78
0,28,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78
0,29,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78
0,30,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78
0,31,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78
0,32,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78
0,33,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78
0,34,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78
0,35,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78
